epoch,dice_coef,iou_score,loss,val_dice_coef,val_iou_score,val_loss
1,0.7716618180274963,0.6349742412567139,0.4348264038562774,0.7453946471214294,0.5984850525856018,0.6255016922950745
2,0.825416088104248,0.7042310833930969,0.3175328969955444,0.5888112187385559,0.4178496301174164,0.5842624306678772
3,0.851311206817627,0.742167592048645,0.2736639678478241,0.8485589027404785,0.737543523311615,0.2750159502029419
4,0.8712471723556519,0.7728617787361145,0.2384574711322784,0.8897824287414551,0.8016703128814697,0.2081565409898758
5,0.8776283264160156,0.7828742861747742,0.2254524379968643,0.8733128309249878,0.7754867672920227,0.229336142539978
6,0.8887750506401062,0.8004516959190369,0.2073151469230651,0.8342624306678772,0.716473400592804,0.2783030867576599
7,0.8812147378921509,0.7886340618133545,0.2220444083213806,0.8925853371620178,0.8066615462303162,0.1967219710350036
8,0.887593150138855,0.7992660999298096,0.2105858027935028,0.7539452910423279,0.6110320687294006,0.4680699110031128
9,0.8915432095527649,0.8050485849380493,0.2008313089609146,0.9041954278945924,0.8253769874572754,0.1770131140947342
10,0.902608335018158,0.8230401277542114,0.1807717233896255,0.90180104970932,0.823452353477478,0.17814302444458
11,0.9050424695014954,0.8270826935768127,0.1763861030340194,0.9200206398963928,0.8520931601524353,0.1484242677688598
